genename	gene	chrom	start	end	strand	length
AVPR1B	ENSG00000198049.5	1	206223976	206231639	+	7663
AXDND1	ENSG00000162779.16	1	179334855	179523870	+	189015
AXIN1	ENSG00000103126.10	16	337440	402673	-	65233
AXIN2	ENSG00000168646.8	17	63524681	63557765	-	33084
AXL	ENSG00000167601.7	19	41725108	41767671	+	42563
AZGP1	ENSG00000160862.8	7	99564343	99573780	-	9437
AZI1	ENSG00000141577.9	17	79163393	79196799	-	33406
AZI2	ENSG00000163512.9	3	28356494	28390618	-	34124
AZIN1	ENSG00000155096.9	8	103838585	103906092	-	67507
AZU1	ENSG00000172232.5	19	825097	832017	+	6920
B2M	ENSG00000166710.13	15	45003675	45011075	+	7400
B3GALNT1	ENSG00000169255.9	3	160801671	160823172	-	21501
B3GALNT2	ENSG00000162885.8	1	235613238	235667781	-	54543
B3GALT1	ENSG00000172318.4	2	168675182	168730551	+	55369
B3GALT2	ENSG00000162630.5	1	193148175	193155784	-	7609
B3GALT4	ENSG00000235863.2	6	33244917	33252609	+	7692
B3GALT5	ENSG00000183778.13	21	40928369	41045064	+	116695
B3GALT6	ENSG00000176022.3	1	1167629	1170421	+	2792
B3GALTL	ENSG00000187676.7	13	31774073	31906413	+	132340
B3GAT1	ENSG00000109956.8	11	134248398	134281812	-	33414
B3GAT2	ENSG00000112309.6	6	71566382	71666741	-	100359
B3GAT3	ENSG00000149541.5	11	62382768	62389647	-	6879
B3GNT1	ENSG00000174684.6	11	66112843	66115163	-	2320
B3GNT2	ENSG00000170340.10	2	62423248	62451866	+	28618
B3GNT3	ENSG00000179913.6	19	17905637	17923891	+	18254
B3GNT4	ENSG00000176383.8	12	122688090	122693499	+	5409
B3GNT5	ENSG00000176597.7	3	182971032	183016292	+	45260
B3GNT6	ENSG00000198488.6	11	76745385	76753096	+	7711
B3GNT7	ENSG00000156966.6	2	232260254	232265875	+	5621
B3GNT8	ENSG00000177191.2	19	41931264	41934635	-	3371
B3GNT9	ENSG00000237172.3	16	67182008	67185117	-	3109
B3GNTL1	ENSG00000175711.4	17	80900031	81009686	-	109655
B4GALNT1	ENSG00000135454.9	12	58017193	58027138	-	9945
B4GALNT2	ENSG00000167080.4	17	47209822	47247351	+	37529
B4GALNT3	ENSG00000139044.6	12	569530	672675	+	103145
B4GALNT4	ENSG00000182272.7	11	369796	382116	+	12320
B4GALT1	ENSG00000086062.8	9	33104080	33167354	-	63274
B4GALT2	ENSG00000117411.12	1	44444615	44456840	+	12225
B4GALT3	ENSG00000158850.10	1	161141100	161147287	-	6187
B4GALT4	ENSG00000121578.8	3	118930579	118959950	-	29371
B4GALT5	ENSG00000158470.5	20	48249482	48330415	-	80933
B4GALT6	ENSG00000118276.7	18	29202210	29265799	-	63589
B4GALT7	ENSG00000027847.9	5	177027101	177037348	+	10247
B9D1	ENSG00000108641.10	17	19240867	19281495	-	40628
B9D2	ENSG00000123810.3	19	41860326	41870078	-	9752
BAALC	ENSG00000164929.12	8	104152938	104242533	+	89595
BAAT	ENSG00000136881.7	9	104122699	104145801	-	23102
BABAM1	ENSG00000105393.11	19	17378159	17392058	+	13899
BACE1	ENSG00000186318.12	11	117156402	117186975	-	30573
BACE2	ENSG00000182240.11	21	42539728	42654445	+	114717
BACH1	ENSG00000156273.11	21	30566392	31003071	+	436679
BACH2	ENSG00000112182.10	6	90636248	91006627	-	370379
BAD	ENSG00000002330.9	11	64037302	64052176	-	14874
BAG1	ENSG00000107262.12	9	33247818	33264761	-	16943
BAG2	ENSG00000112208.10	6	57037124	57054631	+	17507
BAG3	ENSG00000151929.5	10	121410882	121437331	+	26449
BAG4	ENSG00000156735.6	8	38034051	38070819	+	36768
BAG5	ENSG00000166170.9	14	104022881	104029168	-	6287
BAG6	ENSG00000204463.8	6	31606805	31620482	-	13677
BAHD1	ENSG00000140320.7	15	40731920	40760441	+	28521
BAI1	ENSG00000181790.6	8	143530791	143626370	+	95579
BAI2	ENSG00000121753.8	1	32192718	32230494	-	37776
BAI3	ENSG00000135298.9	6	69345259	70099403	+	754144
BAIAP2	ENSG00000175866.11	17	79008948	79091232	+	82284
BAIAP2L1	ENSG00000006453.9	7	97920963	98030380	-	109417
BAIAP2L2	ENSG00000128298.12	22	38480896	38506677	-	25781
BAIAP3	ENSG00000007516.9	16	1383602	1399439	+	15837
BAK1	ENSG00000030110.8	6	33540329	33548019	-	7690
BAMBI	ENSG00000095739.7	10	28966271	28971868	+	5597
BANF1	ENSG00000175334.3	11	65769550	65771620	+	2070
BANF2	ENSG00000125888.10	20	17674317	17716516	+	42199
BANK1	ENSG00000153064.7	4	102332443	102995969	+	663526
BANP	ENSG00000172530.15	16	87982850	88110924	+	128074
BAP1	ENSG00000163930.5	3	52435029	52444366	-	9337
BARD1	ENSG00000138376.6	2	215590370	215674428	-	84058
BARX1	ENSG00000131668.9	9	96713905	96717654	-	3749
BARX2	ENSG00000043039.5	11	129245835	129322171	+	76336
BASP1	ENSG00000176788.7	5	17065707	17276943	+	211236
BATF	ENSG00000156127.6	14	75988768	76013358	+	24590
BATF2	ENSG00000168062.5	11	64755415	64764517	-	9102
BATF3	ENSG00000123685.4	1	212859760	212873327	-	13567
BAX	ENSG00000087088.15	19	49458072	49465055	+	6983
BAZ1A	ENSG00000198604.6	14	35221937	35344853	-	122916
BAZ1B	ENSG00000009954.6	7	72854728	72936608	-	81880
BAZ2A	ENSG00000076108.7	12	56989380	57030600	-	41220
BAZ2B	ENSG00000123636.13	2	160175490	160473203	-	297713
BBC3	ENSG00000105327.11	19	47724081	47736023	-	11942
BBIP1	ENSG00000214413.3	10	112658488	112679032	-	20544
BBOX1	ENSG00000129151.4	11	27062272	27149356	+	87084
BBS1	ENSG00000174483.15	11	66278077	66301098	+	23021
BBS10	ENSG00000179941.6	12	76738254	76742222	-	3968
BBS12	ENSG00000181004.5	4	123653857	123666098	+	12241
BBS2	ENSG00000125124.7	16	56500748	56554195	-	53447
BBS4	ENSG00000140463.9	15	72978527	73030817	+	52290
BBS5	ENSG00000163093.7	2	170335688	170382432	+	46744
BBS7	ENSG00000138686.5	4	122745595	122791652	-	46057
BBS9	ENSG00000122507.16	7	33168856	33645680	+	476824
BBX	ENSG00000114439.14	3	107241783	107530171	+	288388
BCAM	ENSG00000187244.6	19	45312328	45324673	+	12345
BCAN	ENSG00000132692.14	1	156611182	156629324	+	18142
BCAP29	ENSG00000075790.6	7	107220422	107269615	+	49193
BCAR1	ENSG00000050820.12	16	75262928	75301951	-	39023
BCAR3	ENSG00000137936.12	1	94027347	94312706	-	285359
BCAS1	ENSG00000064787.8	20	52553316	52687304	-	133988
BCAS2	ENSG00000116752.5	1	115110178	115124260	-	14082
BCAS3	ENSG00000141376.16	17	58754814	59470199	+	715385
BCAS4	ENSG00000124243.13	20	49411431	49493714	+	82283
BCAT1	ENSG00000060982.10	12	24964295	25102393	-	138098
BCAT2	ENSG00000105552.10	19	49298319	49314286	-	15967
BCCIP	ENSG00000107949.12	10	127512115	127542264	+	30149
BCDIN3D	ENSG00000186666.4	12	50231573	50236912	-	5339
BCHE	ENSG00000114200.5	3	165490692	165555260	-	64568
BCKDHA	ENSG00000248098.6	19	41884215	41930910	+	46695
BCKDHB	ENSG00000083123.10	6	80816364	81055987	+	239623
BCKDK	ENSG00000103507.9	16	31117428	31124110	+	6682
BCL10	ENSG00000142867.8	1	85731931	85742773	-	10842
BCL11A	ENSG00000119866.16	2	60678302	60780702	-	102400
BCL11B	ENSG00000127152.13	14	99635624	99737861	-	102237
BCL2	ENSG00000171791.10	18	60790579	60987361	-	196782
BCL2A1	ENSG00000140379.7	15	80253231	80263788	-	10557
BCL2L1	ENSG00000171552.8	20	30252255	30311792	-	59537
BCL2L10	ENSG00000137875.4	15	52401460	52404972	-	3512
BCL2L11	ENSG00000153094.17	2	111876955	111926024	+	49069
BCL2L12	ENSG00000126453.5	19	50168823	50177173	+	8350
BCL2L13	ENSG00000099968.13	22	18111621	18213388	+	101767
BCL2L14	ENSG00000121380.8	12	12202778	12364018	+	161240
BCL2L15	ENSG00000188761.7	1	114420790	114430169	-	9379
BCL2L2	ENSG00000129473.5	14	23767999	23780968	+	12969
BCL2L2-PABPN1	ENSG00000258643.1	14	23776044	23794578	+	18534
BCL3	ENSG00000069399.8	19	45250962	45263301	+	12339
BCL6	ENSG00000113916.13	3	187439165	187463515	-	24350
BCL6B	ENSG00000161940.6	17	6926339	6933609	+	7270
BCL7A	ENSG00000110987.4	12	122457328	122499948	+	42620
BCL7B	ENSG00000106635.3	7	72950686	72972332	-	21646
BCL7C	ENSG00000099385.7	16	30844947	30906281	-	61334
BCL9	ENSG00000116128.5	1	147013182	147098017	+	84835
BCL9L	ENSG00000186174.8	11	118764584	118796317	-	31733
BCLAF1	ENSG00000029363.11	6	136578001	136610989	-	32988
BCMO1	ENSG00000135697.5	16	81272053	81324747	+	52694
BCO2	ENSG00000197580.7	11	112046190	112095422	+	49232
BCR	ENSG00000186716.15	22	23521891	23660224	+	138333
BCS1L	ENSG00000074582.8	2	219523487	219528166	+	4679
BDH1	ENSG00000161267.7	3	197236654	197300194	-	63540
BDH2	ENSG00000164039.10	4	104000592	104021040	-	20448
BDKRB1	ENSG00000100739.6	14	96722161	96735304	+	13143
BDKRB2	ENSG00000168398.5	14	96671016	96710666	+	39650
BDNF	ENSG00000176697.14	11	27676440	27743605	-	67165
BDP1	ENSG00000145734.14	5	70751442	70863649	+	112207
BEAN1	ENSG00000166546.9	16	66461200	66527432	+	66232
BECN1	ENSG00000126581.8	17	40962152	40985367	-	23215
BEGAIN	ENSG00000183092.11	14	101003486	101053750	-	50264
BEND3	ENSG00000178409.9	6	107386386	107436473	-	50087
BEND4	ENSG00000188848.11	4	42112955	42154895	-	41940
BEND5	ENSG00000162373.8	1	49193195	49242641	-	49446
BEND6	ENSG00000151917.13	6	56819773	56892140	+	72367
BEND7	ENSG00000165626.12	10	13480484	13570974	-	90490
BEST1	ENSG00000167995.11	11	61717293	61732987	+	15694
BEST3	ENSG00000127325.14	12	70037140	70093256	-	56116
BEST4	ENSG00000142959.4	1	45249257	45253377	-	4120
BET1	ENSG00000105829.7	7	93592074	93633694	-	41620
BET1L	ENSG00000177951.13	11	167784	207428	-	39644
BFAR	ENSG00000103429.6	16	14726672	14763093	+	36421
BFSP1	ENSG00000125864.7	20	17474550	17549865	-	75315
BFSP2	ENSG00000170819.4	3	133118839	133194066	+	75227
BGLAP	ENSG00000242252.1	1	156211753	156213112	+	1359
BHLHA15	ENSG00000180535.3	7	97840739	97842291	+	1552
BHLHA9	ENSG00000205899.3	17	1173853	1174754	+	901
BHLHE22	ENSG00000180828.1	8	65492814	65496181	+	3367
BHLHE23	ENSG00000125533.4	20	61637331	61638387	-	1056
BHLHE40	ENSG00000134107.4	3	5020801	5027008	+	6207
BHLHE41	ENSG00000123095.5	12	26272959	26278060	-	5101
BHMT	ENSG00000145692.10	5	78407602	78428108	+	20506
BHMT2	ENSG00000132840.5	5	78365540	78385289	+	19749
BICC1	ENSG00000122870.7	10	60272900	60591195	+	318295
BICD1	ENSG00000151746.9	12	32259769	32536567	+	276798
BICD2	ENSG00000185963.9	9	95473645	95527094	-	53449
BID	ENSG00000015475.14	22	18216906	18257536	-	40630
BIK	ENSG00000100290.2	22	43506754	43525718	+	18964
BIN1	ENSG00000136717.10	2	127805603	127864931	-	59328
BIN2	ENSG00000110934.6	12	51674822	51718452	-	43630
BIN3	ENSG00000147439.7	8	22477931	22526661	-	48730
BIRC2	ENSG00000110330.4	11	102217942	102249401	+	31459
BIRC3	ENSG00000023445.9	11	102188215	102210134	+	21919
BIRC5	ENSG00000089685.10	17	76210267	76221717	+	11450
BIRC6	ENSG00000115760.9	2	32582096	32843966	+	261870
BIRC7	ENSG00000101197.8	20	61867235	61871859	+	4624
BIRC8	ENSG00000163098.3	19	53792856	53794875	-	2019
BIVM	ENSG00000134897.9	13	103451399	103493885	+	42486
BLACE	ENSG00000204960.5	7	155149680	155160629	-	10949
BLCAP	ENSG00000166619.8	20	36120874	36156333	-	35459
BLID	ENSG00000259571.1	11	121986062	121986923	-	861
BLK	ENSG00000136573.8	8	11351510	11422113	+	70603
BLM	ENSG00000197299.6	15	91260558	91358859	+	98301
BLMH	ENSG00000108578.10	17	28575218	28619074	-	43856
BLNK	ENSG00000095585.12	10	97951458	98031344	-	79886
BLOC1S1	ENSG00000135441.3	12	56109820	56113871	+	4051
BLOC1S2	ENSG00000196072.7	10	102033713	102046469	-	12756
BLOC1S3	ENSG00000189114.6	19	45682003	45685059	+	3056
BLOC1S4	ENSG00000186222.3	4	6717842	6719387	+	1545
BLOC1S5	ENSG00000188428.12	6	8013800	8064647	-	50847
BLOC1S6	ENSG00000104164.6	15	45879321	45908197	+	28876
BLVRA	ENSG00000106605.6	7	43798279	43846939	+	48660
BLVRB	ENSG00000090013.5	19	40953696	40971747	-	18051
BLZF1	ENSG00000117475.9	1	169337208	169365778	+	28570
BMF	ENSG00000104081.9	15	40380091	40401093	-	21002
BMI1	ENSG00000168283.9	10	22610140	22620413	+	10273
BMP1	ENSG00000168487.13	8	22022249	22069839	+	47590
BMP2	ENSG00000125845.6	20	6748311	6760927	+	12616
BMP2K	ENSG00000138756.13	4	79697496	79837526	+	140030
BMP3	ENSG00000152785.6	4	81952119	81978685	+	26566
BMP4	ENSG00000125378.11	14	54416454	54425479	-	9025
BMP5	ENSG00000112175.6	6	55618443	55740362	-	121919
BMP6	ENSG00000153162.8	6	7727030	7881655	+	154625
BMP7	ENSG00000101144.8	20	55743804	55841685	-	97881
BMP8A	ENSG00000183682.7	1	39957318	39991607	+	34289
BMP8B	ENSG00000116985.6	1	40222854	40254533	-	31679
BMPER	ENSG00000164619.4	7	33944523	34195484	+	250961
BMPR1A	ENSG00000107779.7	10	88516407	88692595	+	176188
BMPR1B	ENSG00000138696.6	4	95679119	96079599	+	400480
BMPR2	ENSG00000204217.8	2	203241659	203432474	+	190815
BMS1	ENSG00000165733.7	10	43278249	43330385	+	52136
BNC1	ENSG00000169594.8	15	83924655	83953466	-	28811
BNC2	ENSG00000173068.13	9	16409501	16870841	-	461340
BNIP1	ENSG00000113734.13	5	172571445	172591390	+	19945
BNIP2	ENSG00000140299.7	15	59951345	59981733	-	30388
BNIP3	ENSG00000176171.7	10	133781578	133795435	-	13857
BNIP3L	ENSG00000104765.10	8	26240414	26363152	+	122738
BNIPL	ENSG00000163141.14	1	151009046	151020076	+	11030
BOC	ENSG00000144857.10	3	112929850	113006303	+	76453
BOD1	ENSG00000145919.6	5	173034517	173043663	-	9146
BOD1L1	ENSG00000038219.8	4	13570362	13629347	-	58985
BOK	ENSG00000176720.3	2	242498136	242513546	+	15410
BOLA1	ENSG00000178096.8	1	149859440	149872351	+	12911
BOLA2	ENSG00000183336.7	16	29464914	29466285	-	1371
BOLA2B	ENSG00000169627.7	16	30204255	30205627	-	1372
BOLA3	ENSG00000163170.7	2	74362525	74375121	-	12596
BOP1	ENSG00000170727.7	8	145486055	145515082	-	29027
BORA	ENSG00000136122.11	13	73302061	73330336	+	28275
BPGM	ENSG00000172331.7	7	134331560	134364565	+	33005
BPHL	ENSG00000137274.8	6	3118608	3153812	+	35204
BPI	ENSG00000101425.8	20	36888551	36965907	+	77356
BPIFA1	ENSG00000198183.7	20	31823801	31831115	+	7314
BPIFA2	ENSG00000131050.6	20	31749574	31769218	+	19644
BPIFB1	ENSG00000125999.6	20	31861286	31897684	+	36398
BPIFB3	ENSG00000186190.7	20	31643230	31661434	+	18204
BPIFB4	ENSG00000186191.7	20	31667450	31699557	+	32107
BPIFC	ENSG00000184459.4	22	32809834	32860471	-	50637
BPNT1	ENSG00000162813.13	1	220230824	220263804	-	32980
BPTF	ENSG00000171634.12	17	65821640	65980494	+	158854
BRAF	ENSG00000157764.8	7	140419127	140624564	-	205437
BRAP	ENSG00000089234.11	12	112079950	112123790	-	43840
BRAT1	ENSG00000106009.11	7	2577511	2595361	-	17850
BRCA1	ENSG00000012048.15	17	41196312	41277500	-	81188
BRCA2	ENSG00000139618.10	13	32889611	32973805	+	84194
BRD1	ENSG00000100425.14	22	50166931	50221160	-	54229
BRD2	ENSG00000204256.8	6	32936437	32949282	+	12845
BRD3	ENSG00000169925.12	9	136895427	136933657	-	38230
BRD4	ENSG00000141867.13	19	15347647	15443356	-	95709
BRD7	ENSG00000166164.11	16	50347398	50402845	-	55447
BRD8	ENSG00000112983.13	5	137475455	137514675	-	39220
BRD9	ENSG00000028310.13	5	850406	892939	-	42533
BRDT	ENSG00000137948.14	1	92414928	92479983	+	65055
BRE	ENSG00000158019.16	2	28112808	28561768	+	448960
BRF1	ENSG00000185024.11	14	105675623	105781926	-	106303
BRF2	ENSG00000104221.8	8	37700786	37707422	-	6636
BRI3	ENSG00000164713.5	7	97881691	97937162	+	55471
BRI3BP	ENSG00000184992.10	12	125478246	125515777	+	37531
BRICD5	ENSG00000182685.3	16	2259254	2261951	-	2697
BRINP1	ENSG00000078725.8	9	121915736	122131745	-	216009
BRINP2	ENSG00000198797.6	1	177140633	177251558	+	110925
BRINP3	ENSG00000162670.8	1	190066792	190446759	-	379967
BRIP1	ENSG00000136492.4	17	59758627	59940882	-	182255
BRIX1	ENSG00000113460.8	5	34915481	34926101	+	10620
BRK1	ENSG00000254999.2	3	10157276	10168874	+	11598
BRMS1	ENSG00000174744.9	11	66104804	66112596	-	7792
BRMS1L	ENSG00000100916.9	14	36295524	36401531	+	106007
BROX	ENSG00000162819.7	1	222885895	222908538	+	22643
BRPF1	ENSG00000156983.11	3	9773413	9789702	+	16289
BRPF3	ENSG00000096070.15	6	36164521	36200567	+	36046
BRSK1	ENSG00000160469.12	19	55793440	55823901	+	30461
BRSK2	ENSG00000174672.11	11	1411129	1483919	+	72790
BRWD1	ENSG00000185658.9	21	40556102	40693485	-	137383
BSCL2	ENSG00000168000.10	11	62457747	62477317	-	19570
BSDC1	ENSG00000160058.14	1	32830704	32860332	-	29628
BSG	ENSG00000172270.14	19	571297	583493	+	12196
BSN	ENSG00000164061.4	3	49591922	49708978	+	117056
BSND	ENSG00000162399.6	1	55464606	55476556	+	11950
BSPRY	ENSG00000119411.10	9	116111821	116133513	+	21692
BST1	ENSG00000109743.6	4	15704573	15739936	+	35363
BST2	ENSG00000130303.8	19	17513748	17516457	-	2709
BTAF1	ENSG00000095564.9	10	93683526	93790082	+	106556
BTBD1	ENSG00000064726.5	15	83685174	83736106	-	50932
BTBD10	ENSG00000148925.6	11	13409548	13484844	-	75296
BTBD11	ENSG00000151136.10	12	107712190	108053419	+	341229
BTBD16	ENSG00000138152.7	10	124030821	124097677	+	66856
BTBD17	ENSG00000204347.3	17	72352555	72358085	-	5530
BTBD18	ENSG00000233436.3	11	57510986	57519253	-	8267
BTBD19	ENSG00000222009.4	1	45274154	45281257	+	7103
BTBD2	ENSG00000133243.4	19	1985447	2034880	-	49433
BTBD3	ENSG00000132640.10	20	11871371	11907257	+	35886
BTBD6	ENSG00000184887.9	14	105714827	105717430	+	2603
BTBD7	ENSG00000011114.10	14	93703896	93799438	-	95542
BTBD8	ENSG00000189195.5	1	92545862	92613393	+	67531
BTBD9	ENSG00000183826.12	6	38136227	38607924	-	471697
BTC	ENSG00000174808.7	4	75669969	75719896	-	49927
BTD	ENSG00000169814.8	3	15642848	15687329	+	44481
BTF3	ENSG00000145741.11	5	72794233	72801460	+	7227
BTF3L4	ENSG00000134717.13	1	52521797	52556388	+	34591
BTG1	ENSG00000133639.3	12	92536286	92539673	-	3387
BTG2	ENSG00000159388.5	1	203274619	203278730	+	4111
BTG3	ENSG00000154640.10	21	18965971	18985265	-	19294
BTG4	ENSG00000137707.9	11	111338251	111383079	-	44828
BTLA	ENSG00000186265.5	3	112182815	112218408	-	35593
BTN1A1	ENSG00000124557.8	6	26501449	26510650	+	9201
BTN2A1	ENSG00000112763.11	6	26458150	26476849	+	18699
BTN2A2	ENSG00000124508.12	6	26383324	26395102	+	11778
BTN3A1	ENSG00000026950.12	6	26402465	26415444	+	12979
BTN3A2	ENSG00000186470.9	6	26365387	26378546	+	13159
BTN3A3	ENSG00000111801.11	6	26440700	26453643	+	12943
BTNL2	ENSG00000204290.6	6	32361740	32374905	-	13165
BTNL3	ENSG00000168903.8	5	180415845	180433727	+	17882
BTNL8	ENSG00000113303.7	5	180326077	180377906	+	51829
BTNL9	ENSG00000165810.12	5	180467225	180488523	+	21298
BTRC	ENSG00000166167.13	10	103113820	103317078	+	203258
BUB1	ENSG00000169679.10	2	111395275	111435691	-	40416
BUB1B	ENSG00000156970.8	15	40453224	40513337	+	60113
BUB3	ENSG00000154473.13	10	124913793	124924886	+	11093
BUD13	ENSG00000137656.7	11	116618886	116643704	-	24818
BUD31	ENSG00000106245.5	7	99006264	99017239	+	10975
BVES	ENSG00000112276.9	6	105544697	105585049	-	40352
BYSL	ENSG00000112578.5	6	41888926	41900784	+	11858
BZRAP1	ENSG00000005379.11	17	56378592	56406152	-	27560
BZW1	ENSG00000082153.13	2	201675317	201688569	+	13252
BZW2	ENSG00000136261.10	7	16685756	16746148	+	60392
C10orf10	ENSG00000165507.8	10	45466429	45474258	-	7829
C10orf105	ENSG00000214688.4	10	73471458	73497581	-	26123
C10orf107	ENSG00000183346.6	10	63422719	63526524	+	103805
C10orf11	ENSG00000148655.10	10	77360998	78319925	+	958927
C10orf111	ENSG00000176236.4	10	15137384	15139318	-	1934
C10orf112	ENSG00000204740.5	10	19492779	20079330	+	586551
C10orf113	ENSG00000204683.6	10	21414692	21435488	-	20796
C10orf115	ENSG00000204566.6	10	23492745	23528745	-	36000
C10orf118	ENSG00000165813.12	10	115880621	115933979	-	53358
C10orf12	ENSG00000155640.5	10	98741041	98745582	+	4541
C10orf126	ENSG00000204365.2	10	29135337	29170827	+	35490
C10orf128	ENSG00000204161.9	10	50362773	50396630	-	33857
C10orf129	ENSG00000173124.10	10	96953957	96988685	+	34728
C10orf131	ENSG00000173088.8	10	97667360	97698480	+	31120
C10orf137	ENSG00000107938.13	10	127408084	127452712	+	44628
C10orf2	ENSG00000107815.3	10	102747124	102754158	+	7034
C10orf25	ENSG00000165511.4	10	45493146	45496336	-	3190
C10orf32	ENSG00000166275.11	10	104613980	104624718	+	10738
C10orf35	ENSG00000171224.7	10	71390007	71393352	+	3345
C10orf40	ENSG00000235931.2	10	61715188	61720671	-	5483
C10orf53	ENSG00000178645.8	10	50887697	50918307	+	30610
C10orf54	ENSG00000107738.15	10	73507316	73533255	-	25939
C10orf55	ENSG00000222047.4	10	75669727	75682535	-	12808
C10orf62	ENSG00000203942.3	10	99349450	99350690	+	1240
C10orf67	ENSG00000179133.7	10	23556124	23633774	-	77650
C10orf68	ENSG00000150076.18	10	32832297	33171802	+	339505
C10orf71	ENSG00000177354.7	10	50507187	50535537	+	28350
C10orf76	ENSG00000120029.8	10	103605356	103815950	-	210594
C10orf82	ENSG00000165863.12	10	118423207	118429775	-	6568
C10orf85	ENSG00000177234.5	10	122357721	122359629	+	1908
C10orf88	ENSG00000119965.8	10	124690419	124713919	-	23500
C10orf90	ENSG00000154493.13	10	128113566	128359079	-	245513
C10orf91	ENSG00000180066.5	10	134257831	134262912	+	5081
C10orf95	ENSG00000120055.5	10	104209594	104211300	-	1706
C10orf99	ENSG00000188373.4	10	85933494	85945050	+	11556
C11orf1	ENSG00000137720.3	11	111749659	111756699	+	7040
C11orf16	ENSG00000176029.9	11	8941623	8954553	-	12930
C11orf21	ENSG00000110665.7	11	2316875	2324279	-	7404
C11orf24	ENSG00000171067.6	11	68028803	68039469	-	10666
C11orf30	ENSG00000158636.12	11	76155967	76264069	+	108102
C11orf31	ENSG00000211450.5	11	57508825	57510986	+	2161
C11orf34	ENSG00000188771.3	11	112118876	112131583	-	12707
C11orf35	ENSG00000185522.4	11	554855	560779	-	5924
C11orf42	ENSG00000180878.2	11	6226796	6232362	+	5566
C11orf45	ENSG00000174370.5	11	128769460	128775930	-	6470
C11orf48	ENSG00000162194.8	11	62430287	62439727	-	9440
C11orf49	ENSG00000149179.9	11	46958240	47185936	+	227696
C11orf52	ENSG00000149300.5	11	111788756	111797596	+	8840
C11orf53	ENSG00000150750.6	11	111126707	111157126	+	30419
C11orf54	ENSG00000182919.10	11	93474757	93497915	+	23158
C11orf57	ENSG00000150776.13	11	111944810	111955874	+	11064
C11orf58	ENSG00000110696.5	11	16634679	16778428	+	143749
C11orf63	ENSG00000109944.6	11	122753391	122830506	+	77115
C11orf65	ENSG00000166323.8	11	108179246	108338258	-	159012
C11orf68	ENSG00000175573.6	11	65684279	65686588	-	2309
C11orf70	ENSG00000137691.8	11	101918174	101955291	+	37117
C11orf73	ENSG00000149196.11	11	86013253	86056969	+	43716
C11orf74	ENSG00000166352.11	11	36616051	36694823	+	78772
C11orf80	ENSG00000173715.11	11	66511922	66610987	+	99065
C11orf82	ENSG00000165490.8	11	82611017	82669319	+	58302
C11orf83	ENSG00000204922.4	11	62437745	62441159	+	3414
C11orf84	ENSG00000168005.4	11	63580860	63595190	+	14330
C11orf85	ENSG00000168070.7	11	64704989	64739557	-	34568
C11orf86	ENSG00000173237.4	11	66742748	66744475	+	1727
C11orf87	ENSG00000185742.6	11	109292846	109299840	+	6994
C11orf88	ENSG00000183644.9	11	111385510	111407756	+	22246
C11orf89	ENSG00000184682.5	11	1910375	1912084	-	1709
C11orf91	ENSG00000205177.5	11	33719807	33722347	-	2540
C11orf94	ENSG00000234776.1	11	45928085	45928833	-	748
C11orf96	ENSG00000187479.4	11	43946892	43965888	+	18996
C12orf10	ENSG00000139637.9	12	53693470	53700961	+	7491
C12orf23	ENSG00000151135.5	12	107349497	107372556	+	23059
C12orf29	ENSG00000133641.13	12	88427623	88443937	+	16314
C12orf36	ENSG00000180861.5	12	13524023	13540101	-	16078
C12orf39	ENSG00000134548.5	12	21679241	21690311	+	11070
C12orf4	ENSG00000047621.7	12	4596894	4647674	-	50780
C12orf40	ENSG00000180116.11	12	40019969	40302102	+	282133
C12orf43	ENSG00000157895.7	12	121440225	121454305	-	14080
C12orf44	ENSG00000123395.10	12	52463030	52471278	+	8248
C12orf45	ENSG00000151131.5	12	105380088	105443515	+	63427
C12orf49	ENSG00000111412.4	12	117153593	117175875	-	22282
C12orf5	ENSG00000078237.4	12	4430371	4462338	+	31967
C12orf50	ENSG00000165805.5	12	88373816	88427814	-	53998
C12orf52	ENSG00000139405.11	12	113623331	113630173	+	6842
C12orf54	ENSG00000177627.5	12	48876286	48890295	+	14009
C12orf55	ENSG00000188596.5	12	96883349	97269333	+	385984
C12orf56	ENSG00000185306.8	12	64660217	64784972	-	124755
C12orf57	ENSG00000111678.6	12	7052141	7055166	+	3025
C12orf60	ENSG00000182993.3	12	14956506	15059520	+	103014
C12orf61	ENSG00000221949.2	12	62995531	62997214	-	1683
C12orf65	ENSG00000130921.3	12	123717463	123742506	+	25043
C12orf66	ENSG00000174206.8	12	64580096	64616076	-	35980
C12orf68	ENSG00000177875.3	12	48577366	48579709	+	2343
C12orf71	ENSG00000214700.5	12	27233991	27235447	-	1456
C12orf73	ENSG00000204954.5	12	104343980	104359486	-	15506
C12orf74	ENSG00000214215.3	12	93096619	93102325	+	5706
C12orf75	ENSG00000235162.4	12	105629068	105789875	+	160807
C12orf76	ENSG00000174456.9	12	110465872	110511491	-	45619
C12orf77	ENSG00000226397.3	12	25146358	25150453	-	4095
C12orf79	ENSG00000257242.2	12	92378756	92536690	-	157934
C13orf45	ENSG00000178734.4	13	76445187	76457947	+	12760
C14orf1	ENSG00000133935.6	14	76116134	76127532	-	11398
C14orf105	ENSG00000100557.5	14	57936019	57960585	-	24566
C14orf119	ENSG00000179933.4	14	23563974	23569665	+	5691
C14orf132	ENSG00000227051.4	14	96505661	96560417	+	54756
